ccode,year,attacksum,deathsum
150,1995,12,0
150,1996,0,0
150,1997,6,1
150,1998,0,0
150,1999,1,2
150,2000,2,0
150,2001,0,0
150,2002,0,0
150,2003,0,0
150,2004,0,0
150,2005,0,0
150,2006,0,0
150,2007,0,0
150,2008,0,0
150,2009,0,0
150,2010,2,2
155,1981,34,19
155,1982,21,2
155,1983,106,15
155,1984,563,37
155,1985,232,30
155,1986,243,22
155,1987,173,9
155,1988,185,19
155,1989,146,19
155,1990,161,8
155,1991,127,16
155,1992,119,12
155,1993,0,0
155,1994,15,0
155,1995,17,1
155,1996,8,2
155,1997,6,0
155,1998,1,0
155,1999,3,0
155,2000,2,0
155,2001,3,0
155,2002,1,0
155,2003,2,0
155,2004,0,0
155,2005,0,0
155,2006,1,0
155,2007,8,0
155,2008,4,0
155,2009,8,0
155,2010,5,0
160,1981,2,0
160,1982,9,1
160,1983,18,1
160,1984,46,1
160,1985,43,2
160,1986,33,2
160,1987,80,3
160,1988,33,1
160,1989,32,26
160,1990,31,1
160,1991,27,1
160,1992,41,32
160,1993,0,0
160,1994,14,86
160,1995,16,0
160,1996,19,1
160,1997,11,3
160,1998,0,0
160,1999,1,0
160,2000,0,0
160,2001,2,0
160,2002,0,0
160,2003,1,0
160,2004,0,0
160,2005,3,0
160,2006,0,0
160,2007,0,0
160,2008,0,0
160,2009,1,0
160,2010,5,0
165,1981,0,0
165,1982,0,0
165,1983,0,0
165,1984,4,0
165,1985,2,0
165,1986,2,0
165,1987,0,0
165,1988,0,0
165,1989,1,1
165,1990,1,0
165,1991,3,0
165,1992,11,0
165,1993,0,0
165,1994,4,0
165,1995,1,0
165,1996,1,0
165,1997,2,0
165,1998,0,0
165,1999,0,0
165,2000,0,0
165,2001,0,0
165,2002,0,0
165,2003,0,0
165,2004,0,0
165,2005,1,0
165,2006,0,0
165,2007,0,0
165,2008,0,0
165,2009,0,0
165,2010,0,0
200,1981,21,5
200,1982,5,9
200,1983,19,5
200,1984,13,8
200,1985,6,1
200,1986,5,2
200,1987,14,3
200,1988,32,272
200,1989,33,15
200,1990,33,3
200,1991,48,1
200,1992,76,8
200,1993,0,0
200,1994,42,0
200,1995,5,2
200,1996,8,3
200,1997,5,0
200,1998,5,0
200,1999,8,2
200,2000,10,0
200,2001,18,1
200,2002,3,0
200,2003,0,0
200,2004,1,0
200,2005,9,56
200,2006,4,0
200,2007,9,1
200,2008,10,0
200,2009,2,0
200,2010,1,0
205,1981,4,2
205,1982,4,2
205,1983,4,5
205,1984,1,1
205,1985,2,2
205,1986,2,0
205,1987,24,6
205,1988,0,0
205,1989,3,3
205,1990,2,0
205,1991,16,3
205,1992,7,0
205,1993,0,0
205,1994,10,4
205,1995,3,1
205,1996,1,1
205,1997,4,0
205,1998,3,1
205,1999,3,0
205,2000,0,0
205,2001,2,0
205,2002,0,0
205,2003,1,0
205,2004,0,0
205,2005,0,0
205,2006,1,1
205,2007,1,0
205,2008,5,0
205,2009,0,0
205,2010,4,0
210,1981,1,0
210,1982,2,0
210,1983,2,0
210,1984,1,0
210,1985,4,0
210,1986,14,0
210,1987,1,0
210,1988,4,4
210,1989,5,0
210,1990,6,2
210,1991,8,0
210,1992,12,0
210,1993,0,0
210,1994,3,0
210,1995,7,1
210,1996,6,0
210,1997,4,6
210,1998,0,0
210,1999,1,0
210,2000,1,0
210,2001,1,0
210,2002,3,2
210,2003,3,0
210,2004,1,1
210,2005,0,0
210,2006,0,0
210,2007,0,0
210,2008,1,0
210,2009,1,7
210,2010,1,0
211,1981,6,6
211,1982,1,0
211,1983,8,2
211,1984,10,0
211,1985,21,10
211,1986,3,0
211,1987,1,1
211,1988,5,1
211,1989,7,4
211,1990,2,2
211,1991,6,1
211,1992,9,1
211,1993,0,0
211,1994,5,0
211,1995,1,0
211,1996,0,0
211,1997,2,4
211,1998,3,0
211,1999,2,0
211,2000,0,0
211,2001,0,0
211,2002,3,0
211,2003,8,0
211,2004,0,0
211,2005,0,0
211,2006,0,0
211,2007,1,0
211,2008,0,0
211,2009,1,0
211,2010,0,0
212,1981,0,0
212,1982,0,0
212,1983,2,0
212,1984,0,0
212,1985,10,0
212,1986,1,0
212,1987,0,0
212,1988,0,0
212,1989,0,0
212,1990,0,0
212,1991,0,0
212,1992,0,0
212,1993,0,0
212,1994,3,0
212,1995,0,0
212,1996,0,0
212,1997,0,0
212,1998,0,0
212,1999,0,0
212,2000,0,0
212,2001,0,0
212,2002,0,0
212,2003,0,0
212,2004,0,0
212,2005,0,0
212,2006,0,0
212,2007,0,0
212,2008,0,0
212,2009,0,0
212,2010,0,0
220,1981,63,7
220,1982,47,17
220,1983,52,19
220,1984,70,11
220,1985,43,16
220,1986,50,23
220,1987,19,3
220,1988,30,4
220,1989,20,3
220,1990,9,1
220,1991,49,6
220,1992,49,4
220,1993,0,0
220,1994,37,6
220,1995,18,9
220,1996,42,7
220,1997,21,0
220,1998,5,0
220,1999,12,0
220,2000,16,2
220,2001,10,0
220,2002,9,0
220,2003,8,0
220,2004,2,0
220,2005,2,0
220,2006,7,1
220,2007,5,3
220,2008,8,0
220,2009,4,0
220,2010,1,0
225,1981,13,2
225,1982,6,0
225,1983,3,0
225,1984,1,0
225,1985,7,0
225,1986,0,0
225,1987,1,1
225,1988,4,0
225,1989,0,0
225,1990,1,1
225,1991,2,0
225,1992,6,6
225,1993,0,0
225,1994,0,0
225,1995,5,1
225,1996,4,1
225,1997,1,0
225,1998,1,0
225,1999,2,0
225,2000,4,0
225,2001,2,14
225,2002,0,0
225,2003,1,0
225,2004,0,0
225,2005,0,0
225,2006,0,0
225,2007,2,0
225,2008,0,0
225,2009,0,0
225,2010,0,0
230,1981,107,39
230,1982,146,42
230,1983,122,42
230,1984,143,51
230,1985,115,70
230,1986,125,57
230,1987,105,64
230,1988,151,25
230,1989,142,29
230,1990,113,32
230,1991,89,46
230,1992,72,29
230,1993,0,0
230,1994,55,17
230,1995,44,18
230,1996,63,5
230,1997,86,11
230,1998,17,6
230,1999,47,0
230,2000,112,29
230,2001,79,14
230,2002,41,5
230,2003,21,3
230,2004,31,193
230,2005,24,0
230,2006,23,2
230,2007,11,0
230,2008,37,3
230,2009,21,3
230,2010,3,0
235,1981,10,2
235,1982,3,3
235,1983,9,8
235,1984,14,3
235,1985,20,1
235,1986,11,1
235,1987,0,0
235,1988,2,2
235,1989,1,1
235,1990,0,0
235,1991,0,0
235,1992,1,0
235,1993,0,0
235,1994,1,2
235,1995,3,0
235,1996,0,0
235,1997,0,0
235,1998,0,0
235,1999,0,0
