year,ccode,uds
2008,55,1.180279909
1979,56,0.586537263
1980,56,0.800458704
1981,56,0.692078819
1982,56,0.697290382
1983,56,0.690855763
1984,56,0.824587385
1985,56,0.945632093
1986,56,0.831228687
1987,56,0.828092282
1988,56,0.905821497
1989,56,0.822880805
1990,56,0.831728025
1991,56,0.821944775
1992,56,0.822285433
1993,56,0.829913581
1994,56,0.829677422
1995,56,0.828284391
1996,56,0.829835872
1997,56,0.831155565
1998,56,0.824027238
1999,56,0.826915009
2000,56,0.938426452
2001,56,0.826202349
2002,56,0.829732255
2003,56,0.83101579
2004,56,0.826533021
2005,56,1.044751254
2006,56,1.051969704
2007,56,1.045446133
2008,56,1.054725206
1979,57,0.59005711
1980,57,0.714420549
1981,57,0.586459328
1982,57,0.584641179
1983,57,0.591065919
1984,57,0.68695555
1985,57,0.846714615
1986,57,0.694916546
1987,57,0.828047522
1988,57,0.904270193
1989,57,0.715882233
1990,57,0.713217511
1991,57,0.714627608
1992,57,0.708527254
1993,57,0.899426338
1994,57,0.827357902
1995,57,0.823915417
1996,57,0.826079532
1997,57,0.827040475
1998,57,0.941151635
1999,57,0.93843511
2000,57,1.032449388
2001,57,0.939903945
2002,57,0.941851844
2003,57,0.937062408
2004,57,0.941435257
2005,57,1.046891183
2006,57,1.046860034
2007,57,1.053396852
2008,57,1.047357242
1981,58,0.488092213
1982,58,0.493634494
1983,58,0.49583102
1984,58,0.398456841
1985,58,0.36791703
1986,58,0.395523483
1987,58,0.401459504
1988,58,0.608180463
1989,58,0.488410978
1990,58,0.48698428
1991,58,0.41687691
1992,58,0.409114331
1993,58,0.342626893
1994,58,0.431897747
1995,58,0.432389552
1996,58,0.427826134
1997,58,0.426737517
1998,58,0.433755885
1999,58,0.517430044
2000,58,0.773058647
2001,58,0.600241957
2002,58,0.60270001
2003,58,0.597378779
2004,58,0.907526428
2005,58,0.902746637
2006,58,0.89798358
2007,58,0.900266701
2008,58,0.898985114
1983,60,0.697238416
1984,60,1.047575238
1985,60,1.126267248
1986,60,1.054287638
1987,60,0.827100741
1988,60,0.909834626
1989,60,1.049842104
1990,60,1.049543155
1991,60,1.053988224
1992,60,1.049407302
1993,60,1.183179295
1994,60,0.79739062
1995,60,0.830461752
1996,60,0.820019023
1997,60,0.83103262
1998,60,0.832844923
1999,60,0.826772905
2000,60,1.11359704
2001,60,1.046636103
2002,60,1.052072592
2003,60,1.047951094
2004,60,0.944342221
2005,60,1.179853522
2006,60,1.177035893
2007,60,1.183292522
2008,60,1.177498097
1946,70,-0.658457081
1947,70,-0.66593646
1948,70,-0.568543671
1949,70,-0.568763932
1950,70,-0.361808731
1951,70,-0.560942384
1952,70,-0.568219164
1953,70,-0.56564424
1954,70,-0.567205038
1955,70,-0.573489677
1956,70,-0.567702673
1957,70,-0.566300065
1958,70,-0.565799075
1959,70,-0.569049455
1960,70,-0.267550384
1961,70,-0.569024905
1962,70,-0.568178292
1963,70,-0.568677631
1964,70,-0.566841104
1965,70,-0.365830754
1966,70,-0.565511466
1967,70,-0.488985177
1968,70,-0.491758616
1969,70,-0.485891399
1970,70,-0.483206908
1971,70,-0.483538053
1972,70,-0.377385638
1973,70,-0.336433373
1974,70,-0.33824738
1975,70,-0.336013229
1976,70,-0.374087426
1977,70,-0.231488411
1978,70,-0.355422872
1979,70,-0.267432072
1980,70,-0.30420791
1981,70,-0.310540426
1982,70,-0.126401911
1983,70,-0.229784629
1984,70,-0.227129838
1985,70,-0.164698208
1986,70,-0.269552164
1987,70,-0.27174348
1988,70,0.03992012
1989,70,0.079549931
1990,70,-0.003201392
1991,70,-0.00490945
1992,70,0.05902426
1993,70,0.041709747
1994,70,0.089919886
1995,70,0.180559364
1996,70,0.195919576
1997,70,0.224419797
1998,70,0.292228509
1999,70,0.243620203
2000,70,0.69950698
2001,70,0.7457649
2002,70,0.801189593
2003,70,0.79438647
2004,70,0.796323217
2005,70,0.792583849
2006,70,0.711484786
2007,70,0.707755901
2008,70,0.672013969
1981,80,0.715956657
1982,80,0.712053386
1983,80,0.705113789
1984,80,0.716529617
1985,80,1.013490495
1986,80,0.916778253
1987,80,0.913011483
1988,80,0.824806023
1989,80,0.830135525
1990,80,0.827805158
1991,80,1.043966272
1992,80,1.041191095
1993,80,1.044417616
1994,80,1.046154021
1995,80,1.046544786
1996,80,1.048514867
1997,80,1.050136277
1998,80,0.907124236
1999,80,0.910235666
2000,80,0.765283469
2001,80,0.715485309
2002,80,0.706171315
2003,80,0.832162798
2004,80,0.827870597
2005,80,0.825690757
2006,80,0.824921349
2007,80,0.831286934
2008,80,0.826516344
1946,90,0.242526563
1947,90,0.244030041
1948,90,0.268202562
1949,90,0.241894297
1950,90,0.215924017
1951,90,0.243383662
1952,90,0.272163618
1953,90,0.248402502
1954,90,-0.374404317
1955,90,-0.496778984
1956,90,-0.581736387
1957,90,-0.676646199
1958,90,-0.209923868
1959,90,-0.212665823
1960,90,-0.185738288
1961,90,-0.237488467
1962,90,-0.212756442
1963,90,-0.835829457
1964,90,-0.837114958
1965,90,-0.792408825
1966,90,-0.14171357
1967,90,-0.145290964
1968,90,-0.143503029
1969,90,-0.146079002
1970,90,-0.159741994
1971,90,-0.16022615
1972,90,-0.099900413
1973,90,-0.082633224
1974,90,-0.159674281
1975,90,-0.160031708
1976,90,-0.159839695
1977,90,-0.155131972
1978,90,-0.177457353
1979,90,-0.211394556
1980,90,-0.307458313
1981,90,-0.282300489
1982,90,-1.031397349
1983,90,-0.876511646
1984,90,-0.447606844
1985,90,-0.158021726
1986,90,0.204817607
1987,90,0.206465739
1988,90,0.194441429
1989,90,0.202053943
1990,90,0.158477246
1991,90,0.142201993
1992,90,0.128661235
1993,90,0.065579452
1994,90,0.105671417
1995,90,0.101688059
