year,ccode,terror_killed,terror_events
1991,211,1,6
1992,211,1,9
1994,211,0,5
1995,211,0,1
1997,211,4,2
1998,211,0,3
1999,211,0,2
2002,211,0,3
2003,211,0,8
2007,211,0,1
1983,212,0,2
1985,212,0,10
1986,212,0,1
1994,212,0,3
1972,220,1,9
1973,220,5,14
1974,220,3,29
1975,220,3,39
1976,220,7,58
1977,220,3,53
1978,220,21,59
1979,220,11,212
1980,220,20,94
1981,220,8,66
1982,220,17,62
1983,220,19,121
1984,220,15,145
1985,220,17,107
1986,220,25,95
1987,220,5,87
1988,220,6,54
1989,220,3,25
1990,220,3,30
1991,220,6,137
1992,220,9,126
1994,220,7,97
1995,220,19,71
1996,220,18,270
1997,220,0,130
1998,220,1,12
1999,220,0,46
2000,220,4,28
2001,220,0,21
2002,220,0,32
2003,220,0,34
2004,220,0,11
2005,220,0,33
2006,220,1,34
2007,220,3,16
2008,220,0,13
1970,225,47,3
1971,225,0,1
1973,225,0,2
1974,225,0,3
1975,225,0,3
1976,225,0,4
1977,225,0,4
1978,225,0,3
1979,225,1,6
1980,225,0,7
1981,225,2,13
1982,225,0,6
1983,225,0,3
1984,225,0,1
1985,225,0,7
1987,225,1,1
1988,225,0,4
1990,225,1,1
1991,225,0,2
1992,225,6,6
1995,225,1,5
1996,225,1,4
1997,225,0,1
1998,225,0,1
1999,225,0,2
2000,225,0,4
2001,225,14,2
2003,225,0,1
2007,225,0,2
1970,230,0,4
1971,230,0,22
1972,230,2,19
1973,230,6,21
1974,230,19,14
1975,230,31,136
1976,230,17,50
1977,230,44,147
1978,230,84,209
1979,230,112,279
1980,230,116,187
1981,230,39,107
1982,230,42,146
1983,230,42,122
1984,230,51,143
1985,230,67,113
1986,230,57,125
1987,230,62,104
1988,230,25,151
1989,230,29,142
1990,230,32,113
1991,230,46,89
1992,230,29,72
1994,230,17,55
1995,230,18,44
1996,230,5,63
1997,230,11,86
1998,230,6,17
1999,230,0,47
2000,230,29,112
2001,230,14,79
2002,230,5,41
2003,230,3,21
2004,230,193,31
2005,230,0,24
2006,230,2,23
2007,230,0,11
2008,230,3,37
1974,232,0,1
1973,235,0,1
1975,235,0,4
1976,235,3,15
1977,235,0,15
1978,235,0,4
1979,235,3,15
1980,235,3,8
1981,235,2,10
1982,235,3,3
1983,235,8,9
1984,235,3,14
1985,235,1,20
1986,235,1,11
1988,235,2,2
1989,235,1,1
1992,235,0,1
1994,235,2,1
1995,235,0,3
1970,260,8,20
1971,260,0,13
1972,260,23,24
1973,260,1,27
1974,260,1,28
1975,260,1,35
1976,260,4,50
1977,260,6,40
1978,260,0,19
1979,260,0,17
1980,260,17,20
1981,260,2,31
1982,260,5,29
1983,260,2,5
1984,260,0,21
1985,260,9,53
1986,260,9,46
1987,260,2,19
1988,260,1,14
1989,260,5,21
1990,260,1,10
1991,260,10,65
1992,260,17,156
1994,260,2,79
1995,260,10,147
1996,260,1,52
1997,260,0,12
1998,260,0,6
1999,260,3,13
2000,260,1,8
2001,260,3,8
2002,260,0,3
2003,260,0,2
2004,260,1,3
2005,260,2,3
2006,260,2,4
2007,260,1,3
2008,260,0,3
1970,265,0,12
1971,265,0,4
1974,265,1,1
1977,265,0,1
1978,265,0,1
1982,265,0,1
1983,265,0,1
1984,265,0,1
1985,265,0,4
1986,265,1,3
1987,265,0,1
1988,265,0,4
1989,265,0,1
1990,265,0,3
1979,290,0,1
1981,290,0,1
1990,290,1,7
1992,290,4,5
1994,290,0,4
1995,290,0,4
1996,290,0,6
1997,290,2,3
1998,290,0,2
2001,290,0,1
1972,305,4,2
1973,305,0,2
1974,305,0,1
1975,305,4,2
1976,305,0,4
1977,305,1,5
1978,305,0,1
1979,305,0,5
1980,305,0,2
1981,305,3,3
1982,305,0,11
1984,305,2,4
1985,305,4,4
1986,305,0,4
1987,305,0,4
1988,305,0,1
1989,305,3,2
1990,305,0,1
1991,305,0,3
1992,305,0,8
1994,305,0,5
1995,305,6,12
1996,305,0,4
1997,305,0,1
1998,305,0,1
2006,305,0,1
2007,305,0,1
2008,305,0,7
1989,310,0,1
1991,310,0,3
